transaction_id,posting_date,account_id,cost_center_id,profit_center_id,document_type,reference_id,amount,debit_credit,status
GL-10051,2026-07-25,600000,CC-2001,PC-200,AP Invoice,AP-2050,31636.97,Debit,Posted
GL-10052,2026-07-08,640000,CC-3002,PC-300,AP Invoice,AP-2051,43628.35,Debit,Posted
GL-10053,2026-07-22,500000,CC-1001,PC-100,AP Invoice,AP-2052,32401.61,Debit,Posted
GL-10054,2026-07-13,500000,CC-3002,PC-300,AP Invoice,AP-2053,12614.75,Debit,Posted
GL-10055,2026-07-03,610000,CC-3001,PC-300,AP Invoice,AP-2054,38303.29,Debit,Posted
GL-10056,2026-07-13,500000,CC-2002,PC-200,AP Invoice,AP-2055,9505.17,Debit,Posted
GL-10057,2026-07-09,640000,CC-1002,PC-100,AP Invoice,AP-2056,26275.27,Debit,Posted
GL-10058,2026-07-05,620000,CC-3001,PC-300,AP Invoice,AP-2057,32363.3,Debit,Posted
GL-10059,2026-07-21,500000,CC-3002,PC-300,AP Invoice,AP-2058,32516.1,Debit,Posted
GL-10060,2026-07-12,640000,CC-2001,PC-200,AP Invoice,AP-2059,28415.24,Debit,Posted
GL-10061,2026-07-16,400000,CC-2002,PC-200,AR Invoice,AR-3000,78681.9,Credit,Posted
GL-10062,2026-07-03,410000,CC-3002,PC-300,AR Invoice,AR-3001,51065.27,Credit,Posted
GL-10063,2026-07-02,400000,CC-3001,PC-300,AR Invoice,AR-3002,60290.92,Credit,Posted
GL-10064,2026-07-09,410000,CC-2001,PC-200,AR Invoice,AR-3003,19053.85,Credit,Posted
GL-10065,2026-07-03,410000,CC-3001,PC-300,AR Invoice,AR-3004,71342.06,Credit,Posted
GL-10066,2026-07-05,400000,CC-2001,PC-200,AR Invoice,AR-3005,111164.17,Credit,Suspense
GL-10067,2026-07-16,410000,CC-2001,PC-200,AR Invoice,AR-3006,42930.64,Credit,Posted
GL-10068,2026-07-16,400000,CC-3001,PC-300,AR Invoice,AR-3007,4690.86,Credit,Posted
GL-10069,2026-07-26,410000,CC-3002,PC-300,AR Invoice,AR-3008,58911.81,Credit,Posted
GL-10070,2026-07-22,400000,CC-2001,PC-200,AR Invoice,AR-3009,11762.14,Credit,Posted
GL-10071,2026-07-14,410000,CC-2001,PC-200,AR Invoice,AR-3010,59903.43,Credit,Posted
GL-10072,2026-07-26,410000,CC-1001,PC-100,AR Invoice,AR-3011,69463.91,Credit,Posted
GL-10074,2026-07-09,410000,CC-2001,PC-200,AR Invoice,AR-3013,63439.34,Credit,Suspense
GL-10075,2026-07-12,410000,CC-3002,PC-300,AR Invoice,AR-3014,4550.23,Credit,Posted
GL-10076,2026-07-23,410000,CC-2001,PC-200,AR Invoice,AR-3015,107746.97,Credit,Posted
GL-10077,2026-07-04,400000,CC-3001,PC-300,AR Invoice,AR-3016,67376.26,Credit,Posted
GL-10078,2026-07-03,410000,CC-3002,PC-300,AR Invoice,AR-3017,81324.33,Credit,Posted
GL-10079,2026-07-08,410000,CC-3001,PC-300,AR Invoice,AR-3018,79811.87,Credit,Posted
GL-10080,2026-07-20,400000,CC-2002,PC-200,AR Invoice,AR-3019,92700.4,Credit,Posted
GL-10081,2026-07-03,400000,CC-2001,PC-200,AR Invoice,AR-3020,110089.4,Credit,Posted
GL-10082,2026-07-07,400000,CC-1001,PC-100,AR Invoice,AR-3021,6414.68,Credit,Posted
GL-10083,2026-07-15,410000,CC-3001,PC-300,AR Invoice,AR-3022,45768.83,Credit,Posted
GL-10085,2026-07-09,400000,CC-1002,PC-100,AR Invoice,AR-3024,114442.13,Credit,Posted
GL-10086,2026-07-08,410000,CC-3001,PC-300,AR Invoice,AR-3025,62776.74,Credit,Posted
GL-10087,2026-07-07,410000,CC-2002,PC-200,AR Invoice,AR-3026,112453.14,Credit,Posted
GL-10088,2026-07-05,410000,CC-3002,PC-300,AR Invoice,AR-3027,7299.45,Credit,Posted
GL-10089,2026-07-12,400000,CC-3002,PC-300,AR Invoice,AR-3028,119100.32,Credit,Posted
GL-10090,2026-07-25,410000,CC-2001,PC-200,AR Invoice,AR-3029,90335.75,Credit,Posted
GL-10091,2026-07-25,400000,CC-3002,PC-300,AR Invoice,AR-3030,107426.7,Credit,Posted
GL-10092,2026-07-15,410000,CC-2001,PC-200,AR Invoice,AR-3031,39279.63,Credit,Posted
GL-10093,2026-07-21,400000,CC-3001,PC-300,AR Invoice,AR-3032,80076.03,Credit,Posted
GL-10094,2026-07-11,410000,CC-1001,PC-100,AR Invoice,AR-3033,13147.07,Credit,Posted
GL-10095,2026-07-21,410000,CC-1001,PC-100,AR Invoice,AR-3034,32970.34,Credit,Posted
GL-10096,2026-07-26,410000,CC-3002,PC-300,AR Invoice,AR-3035,30434.53,Credit,Posted
GL-10097,2026-07-04,400000,CC-3002,PC-300,AR Invoice,AR-3036,100071.3,Credit,Posted
GL-10098,2026-07-05,400000,CC-3001,PC-300,AR Invoice,AR-3037,23153.66,Credit,Posted
GL-10099,2026-07-17,400000,CC-3001,PC-300,AR Invoice,AR-3038,105198.32,Credit,Posted
GL-10100,2026-07-06,410000,CC-1001,PC-100,AR Invoice,AR-3039,38618.19,Credit,Posted
GL-10101,2026-07-21,410000,CC-2002,PC-200,AR Invoice,AR-3040,116675.52,Credit,Posted
GL-10102,2026-07-14,410000,CC-1002,PC-100,AR Invoice,AR-3041,18979.91,Credit,Posted
GL-10103,2026-07-01,400000,CC-3002,PC-300,AR Invoice,AR-3042,29099.41,Credit,Posted
GL-10104,2026-07-04,400000,CC-1001,PC-100,AR Invoice,AR-3043,81963.72,Credit,Posted
GL-10106,2026-07-12,410000,CC-1002,PC-100,Journal Entry,JE-9000,5548.8,Debit,Posted
GL-10107,2026-07-22,200000,CC-3002,PC-300,Journal Entry,JE-9001,7347.51,Credit,Posted
GL-10108,2026-07-21,150000,CC-1002,PC-100,Journal Entry,JE-9002,4376.39,Debit,Posted
GL-10109,2026-07-14,120000,CC-3001,PC-300,Journal Entry,JE-9003,6474.26,Credit,Posted
GL-10110,2026-07-21,150000,CC-2001,PC-200,Journal Entry,JE-9004,2447.61,Credit,Posted
GL-10111,2026-07-01,999999,CC-3002,PC-300,Journal Entry,JE-9005,5619.43,Debit,Unposted
GL-10112,2026-07-25,120000,CC-3002,PC-300,Journal Entry,JE-9006,4992.16,Debit,Posted
GL-10113,2026-07-17,630000,CC-3001,PC-300,Journal Entry,JE-9007,859.05,Credit,Posted
GL-10114,2026-07-20,600000,CC-1001,PC-100,Journal Entry,JE-9008,7679.27,Debit,Posted
GL-10115,2026-07-11,999999,CC-3002,PC-300,Journal Entry,JE-9009,6304.47,Credit,Posted
